Knoten;Bezeichnung;
1;Bushaltestelle UniCenter;
2;Unicenter;
5;U-Bahnhaltestelle Ruhr-Uni;
6;Parkhaus B;
9;Musisches Zentrum (MZ);
10;Kulturcafe;
11;Studierenden-Service-Center (SSC);
13;Bushaltestelle Ruhr-Uni (unten);
15;Studierendenhaus (SH);
16;Universitäts-Verwaltung (UV);
19;Universitäts-Bibliothek / Kunstsammlung (UB);
22;MA / HMA;
25;Zentrum für klinische Forschung;
26;Parkhasu für Mieter des TZR;
27;AkaFö TestDaF;
28;Biomedizinisches Zentrum (BMZ);
30;Parkplatz Max-Imdahl-Straße / Fakultät für Sportwissenschaften;
34;Technologiezentrum Ruhr (TZR);
35;Vita Campus (VC);
36;P12;
44;P13;
53;Parkhaus T (Forum);
56;HGA;
57;Campus-Center (CC);
61;Q-West;
64;HGB;
66;GA;
69;GB;
70;HGC;
72;GC;
76;Forum Nord Ost (FNO);
79;Audimax;
82;Mensa / Veranstaltungszentrum (VZ);
90;GD;
103;Veranstaltungszentrum (VZ);
111;Frauenparkplatz Links;
118;Sportplatz;
120;Frauenparkplatz Mitte;
122;UniKids Kindertagesstätte;
124;Frauenparkplatz Rechts;
126;Campussport (CASPO);
127;Parkplatz CASPO;
129;Zum Beckmanns Hof;
130;N-Süd;
131;Zum Botanischen Garten;
137;NT;
139;RUBION;
141;Isotopenlabor;
143;NI;
146;Zentrum für Neuroinformatik (ZN);
147;ND;
148;NC;
149;NB;
150;NA;
156;ZEMOS;
183;HNC ;
188;HNB;
197;HNA;
202;HZO;
221;HIA;
228;HIB;
240;HIC;
247;IA;
249;IB;
250;IC;
252;ID;
253;Zur Hochschule Bochum;
257;IAN;
260;SSC;
262;Zentrum für grenzflächendominierte Höchstleistungswerkstoffe (ZGH);
264;IBN;
266;ICN;
269;Zum Lennershof;
217;Botanischer Garten / ND Eingang;
